,lat,lon,,
447,-14.60732937,28.75,,
448,-14.60732937,311.25,,
449,-14.60732937,33.75,,
450,-14.60732937,35,,
451,-14.60732937,317.5,,
452,-14.60732937,318.75,,
453,-14.60732937,320,,
454,-14.60732937,50,,
455,-14.60732937,321.25,,
456,-14.60732937,40,,
457,-14.60732937,41.25,,
458,-13.66492176,32.5,,
459,-13.66492176,33.75,,
460,-13.66492176,35,,
461,-13.66492176,48.75,,
462,-13.66492176,320,,
463,-13.66492176,321.25,,
464,-13.66492176,38.75,,
465,-13.66492176,40,,
466,-13.66492176,283.75,,
467,-12.7225132,286.25,,
468,-12.7225132,300,,
469,-12.7225132,27.5,,
470,-12.7225132,28.75,,
471,-12.7225132,33.75,,
472,-12.7225132,13.75,,
473,-12.7225132,48.75,,
474,-12.7225132,320,,
475,-12.7225132,16.25,,
476,-12.7225132,321.25,,
477,-12.7225132,41.25,,
478,-12.7225132,283.75,,
479,-12.7225132,131.25,,
480,-12.7225132,282.5,,
481,-11.78010464,297.5,,
482,-11.78010464,298.75,,
483,-11.78010464,27.5,,
484,-11.78010464,33.75,,
485,-11.78010464,16.25,,
486,-11.78010464,321.25,,
487,-11.78010464,40,,
488,-11.78010464,282.5,,
489,-11.78010464,322.5,,
490,-10.83769608,295,,
491,-10.83769608,297.5,,
492,-10.83769608,25,,
493,-10.83769608,26.25,,
494,-10.83769608,320,,
495,-10.83769608,38.75,,
496,-10.83769608,40,,
497,-10.83769608,282.5,,
498,-10.83769608,322.5,,
499,-10.83769608,285,,
500,-10.83769608,323.75,,
501,-9.895287514,292.5,,
502,-9.895287514,147.5,,
503,-9.895287514,297.5,,
504,-9.895287514,33.75,,
505,-9.895287514,16.25,,
506,-9.895287514,40,,
507,-9.895287514,323.75,,
508,-9.895287514,118.75,,
509,-9.895287514,120,,
510,-9.895287514,121.25,,
511,-9.895287514,123.75,,
512,-9.895287514,125,,
513,-9.895287514,150,,
514,-9.895287514,281.25,,
515,-9.895287514,325,,
516,-8.952879906,147.5,,
517,-8.952879906,146.25,,
518,-8.952879906,143.75,,
519,-8.952879906,296.25,,
520,-8.952879906,117.5,,
521,-8.952879906,25,,
522,-8.952879906,115,,
523,-8.952879906,28.75,,
524,-8.952879906,33.75,,
525,-8.952879906,13.75,,
526,-8.952879906,320,,
527,-8.952879906,321.25,,
528,-8.952879906,40,,
529,-8.952879906,283.75,,
530,-8.952879906,323.75,,
531,-8.952879906,118.75,,
532,-8.952879906,120,,
533,-8.952879906,121.25,,
534,-8.952879906,123.75,,
535,-8.952879906,125,,
536,-8.952879906,281.25,,
537,-8.952879906,325,,
538,-8.952879906,113.75,,
539,-8.952879906,122.5,,
540,-8.952879906,126.25,,
541,-8.952879906,140,,
542,-8.010471344,141.25,,
543,-8.010471344,117.5,,
544,-8.010471344,26.25,,
545,-8.010471344,27.5,,
546,-8.010471344,115,,
547,-8.010471344,31.25,,
548,-8.010471344,40,,
549,-8.010471344,322.5,,
550,-8.010471344,285,,
551,-8.010471344,323.75,,
552,-8.010471344,118.75,,
553,-8.010471344,120,,
554,-8.010471344,121.25,,
555,-8.010471344,281.25,,
556,-8.010471344,325,,
557,-8.010471344,113.75,,
558,-8.010471344,140,,
559,-8.010471344,107.5,,
560,-8.010471344,108.75,,
561,-8.010471344,110,,
562,-8.010471344,111.25,,
563,-8.010471344,112.5,,
564,-7.068062782,147.5,,
565,-7.068062782,22.5,,
566,-7.068062782,23.75,,
567,-7.068062782,25,,
568,-7.068062782,27.5,,
569,-7.068062782,311.25,,
570,-7.068062782,321.25,,
571,-7.068062782,38.75,,
572,-7.068062782,323.75,,
573,-7.068062782,281.25,,
574,-7.068062782,325,,
575,-7.068062782,113.75,,
576,-7.068062782,107.5,,
577,-7.068062782,108.75,,
578,-7.068062782,110,,
579,-7.068062782,111.25,,
580,-7.068062782,112.5,,
581,-7.068062782,37.5,,
582,-7.068062782,106.25,,
583,-7.068062782,280,,
584,-6.125654221,146.25,,
585,-6.125654221,142.5,,
586,-6.125654221,143.75,,
587,-6.125654221,145,,
588,-6.125654221,22.5,,
589,-6.125654221,23.75,,
590,-6.125654221,21.25,,
591,-6.125654221,13.75,,
592,-6.125654221,36.25,,
593,-6.125654221,38.75,,
594,-6.125654221,283.75,,
595,-6.125654221,282.5,,
596,-6.125654221,281.25,,
597,-6.125654221,325,,
598,-6.125654221,107.5,,
599,-6.125654221,108.75,,
600,-6.125654221,106.25,,
601,-6.125654221,280,,
602,-6.125654221,12.5,,
603,-5.183246136,146.25,,
604,-5.183246136,143.75,,
605,-5.183246136,18.75,,
606,-5.183246136,22.5,,
607,-5.183246136,136.25,,
608,-5.183246136,20,,
609,-5.183246136,32.5,,
610,-5.183246136,311.25,,
611,-5.183246136,312.5,,
612,-5.183246136,15,,
613,-5.183246136,316.25,,
614,-5.183246136,317.5,,
615,-5.183246136,13.75,,
616,-5.183246136,17.5,,
617,-5.183246136,38.75,,
618,-5.183246136,322.5,,
619,-5.183246136,120,,
620,-5.183246136,121.25,,
621,-5.183246136,150,,
622,-5.183246136,325,,
623,-5.183246136,106.25,,
624,-5.183246136,280,,
625,-5.183246136,12.5,,
626,-5.183246136,11.25,,
627,-5.183246136,105,,
628,-5.183246136,278.75,,
629,-4.240837574,145,,
630,-4.240837574,18.75,,
631,-4.240837574,20,,
632,-4.240837574,26.25,,
633,-4.240837574,152.5,,
634,-4.240837574,30,,
635,-4.240837574,310,,
636,-4.240837574,32.5,,
637,-4.240837574,33.75,,
638,-4.240837574,35,,
639,-4.240837574,15,,
640,-4.240837574,315,,
641,-4.240837574,317.5,,
642,-4.240837574,13.75,,
643,-4.240837574,17.5,,
644,-4.240837574,318.75,,
645,-4.240837574,321.25,,
646,-4.240837574,38.75,,
647,-4.240837574,40,,
648,-4.240837574,322.5,,
649,-4.240837574,120,,
650,-4.240837574,121.25,,
651,-4.240837574,281.25,,
652,-4.240837574,122.5,,
653,-4.240837574,106.25,,
654,-4.240837574,280,,
655,-4.240837574,12.5,,
656,-4.240837574,105,,
657,-4.240837574,278.75,,
658,-4.240837574,102.5,,
659,-4.240837574,103.75,,
660,-3.298429251,286.25,,
661,-3.298429251,300,,
662,-3.298429251,143.75,,
663,-3.298429251,26.25,,
664,-3.298429251,115,,
665,-3.298429251,116.25,,
666,-3.298429251,28.75,,
667,-3.298429251,30,,
668,-3.298429251,33.75,,
669,-3.298429251,315,,
670,-3.298429251,316.25,,
671,-3.298429251,17.5,,
672,-3.298429251,318.75,,
673,-3.298429251,320,,
674,-3.298429251,321.25,,
675,-3.298429251,36.25,,
676,-3.298429251,40,,
677,-3.298429251,131.25,,
678,-3.298429251,118.75,,
679,-3.298429251,120,,
680,-3.298429251,121.25,,
681,-3.298429251,281.25,,
682,-3.298429251,113.75,,
683,-3.298429251,122.5,,
684,-3.298429251,107.5,,
685,-3.298429251,108.75,,
686,-3.298429251,37.5,,
687,-3.298429251,106.25,,
688,-3.298429251,280,,
689,-3.298429251,105,,
690,-3.298429251,102.5,,
691,-3.298429251,103.75,,
692,-3.298429251,101.25,,
693,-3.298429251,127.5,,
694,-3.298429251,128.75,,
695,-3.298429251,130,,
696,-2.356020927,141.25,,
697,-2.356020927,303.75,,
698,-2.356020927,305,,
699,-2.356020927,26.25,,
700,-2.356020927,115,,
701,-2.356020927,116.25,,
702,-2.356020927,28.75,,
703,-2.356020927,30,,
704,-2.356020927,32.5,,
705,-2.356020927,33.75,,
706,-2.356020927,315,,
707,-2.356020927,316.25,,
708,-2.356020927,41.25,,
709,-2.356020927,118.75,,
710,-2.356020927,121.25,,
711,-2.356020927,281.25,,
712,-2.356020927,113.75,,
713,-2.356020927,122.5,,
714,-2.356020927,107.5,,
715,-2.356020927,111.25,,
716,-2.356020927,112.5,,
717,-2.356020927,37.5,,
718,-2.356020927,106.25,,
719,-2.356020927,280,,
720,-2.356020927,102.5,,
721,-2.356020927,101.25,,
722,-1.413612604,117.5,,
723,-1.413612604,138.75,,
724,-1.413612604,115,,
725,-1.413612604,116.25,,
726,-1.413612604,28.75,,
727,-1.413612604,30,,
728,-1.413612604,31.25,,
729,-1.413612604,32.5,,
730,-1.413612604,311.25,,
731,-1.413612604,33.75,,
732,-1.413612604,35,,
733,-1.413612604,312.5,,
734,-1.413612604,36.25,,
735,-1.413612604,131.25,,
736,-1.413612604,282.5,,
737,-1.413612604,120,,
738,-1.413612604,121.25,,
739,-1.413612604,281.25,,
740,-1.413612604,122.5,,
741,-1.413612604,110,,
742,-1.413612604,37.5,,
743,-1.413612604,106.25,,
744,-1.413612604,280,,
745,-1.413612604,105,,
746,-1.413612604,102.5,,
747,-1.413612604,103.75,,
748,-1.413612604,101.25,,
749,-0.471204191,117.5,,
750,-0.471204191,28.75,,
751,-0.471204191,30,,
752,-0.471204191,31.25,,
753,-0.471204191,32.5,,
754,-0.471204191,33.75,,
755,-0.471204191,35,,
756,-0.471204191,312.5,,
757,-0.471204191,36.25,,
758,-0.471204191,283.75,,
759,-0.471204191,131.25,,
760,-0.471204191,282.5,,
761,-0.471204191,120,,
762,-0.471204191,121.25,,
763,-0.471204191,281.25,,
764,-0.471204191,122.5,,
765,-0.471204191,110,,
766,-0.471204191,111.25,,
767,-0.471204191,37.5,,
768,-0.471204191,280,,
769,-0.471204191,102.5,,
770,-0.471204191,103.75,,
771,-0.471204191,101.25,,
772,-0.471204191,8.75,,
773,-0.471204191,42.5,,
774,-0.471204191,100,,
775,-0.471204191,133.75,,
776,-0.471204191,270,,
777,0.471204191,117.5,,
778,0.471204191,18.75,,
779,0.471204191,25,,
780,0.471204191,28.75,,
781,0.471204191,30,,
782,0.471204191,31.25,,
783,0.471204191,308.75,,
784,0.471204191,32.5,,
785,0.471204191,33.75,,
786,0.471204191,35,,
787,0.471204191,36.25,,
788,0.471204191,283.75,,
789,0.471204191,282.5,,
790,0.471204191,121.25,,
791,0.471204191,123.75,,
792,0.471204191,281.25,,
793,0.471204191,122.5,,
794,0.471204191,108.75,,
795,0.471204191,110,,
796,0.471204191,37.5,,
797,0.471204191,280,,
798,0.471204191,102.5,,
799,0.471204191,103.75,,
800,0.471204191,101.25,,
801,0.471204191,127.5,,
802,0.471204191,100,,
803,0.471204191,10,,
804,1.413612604,30,,
805,1.413612604,31.25,,
806,1.413612604,32.5,,
807,1.413612604,33.75,,
808,1.413612604,35,,
809,1.413612604,283.75,,
810,1.413612604,282.5,,
811,1.413612604,285,,
812,1.413612604,121.25,,
813,1.413612604,122.5,,
814,1.413612604,108.75,,
815,1.413612604,110,,
816,1.413612604,111.25,,
817,1.413612604,11.25,,
818,1.413612604,102.5,,
819,1.413612604,103.75,,
820,1.413612604,101.25,,
821,1.413612604,127.5,,
822,1.413612604,100,,
823,1.413612604,10,,
824,1.413612604,45,,
825,1.413612604,98.75,,
826,2.356020927,298.75,,
827,2.356020927,117.5,,
828,2.356020927,22.5,,
829,2.356020927,23.75,,
830,2.356020927,20,,
831,2.356020927,27.5,,
832,2.356020927,30,,
833,2.356020927,31.25,,
